name;latitude;longitude;elevation;Plane Bank Degrees;Plane Pitch Degrees;Plane Heading Degrees True
1690734144;47.095364;-0.831721;1725;0;0;206
1690734147;47.094479;-0.832355;1725;0;0;206
1690734149;47.093674;-0.83297;1725;0;0;205
1690734152;47.09285;-0.833552;1725;0;0;205
1690734155;47.091873;-0.834257;1725;0;0;206
1690734158;47.091019;-0.834892;1750;0;0;208
1690734162;47.089962;-0.835736;1750;0;0;208
1690734171;47.08754;-0.837914;1775;0;0;215
1690734174;47.086845;-0.838764;1800;0;0;218
1690734177;47.086121;-0.839561;1800;0;0;216
1690734180;47.085308;-0.840384;1800;0;0;213
1690734182;47.084564;-0.841158;1800;0;0;215
1690734185;47.083786;-0.842102;1775;0;0;221
1690734188;47.083027;-0.84313;1775;0;0;223
1690734191;47.082321;-0.844299;1775;0;0;228
1690734194;47.081768;-0.845313;1775;0;0;229
1690734197;47.081039;-0.846634;1800;0;0;231
1690734201;47.080372;-0.847919;1800;0;0;231
1690734203;47.079906;-0.848976;1800;0;0;231
1690734207;47.079163;-0.850947;1800;0;0;243
1690734210;47.078697;-0.852426;1775;0;0;243
1690734212;47.078186;-0.853905;1750;0;0;242
1690734216;47.077534;-0.855525;1775;0;0;239
1690734219;47.076881;-0.857074;1775;0;0;236
1690734222;47.076324;-0.858342;1750;0;0;237
1690734224;47.076141;-0.858788;1725;0;0;236
1690734231;47.074554;-0.862215;1675;0;0;236
1690734233;47.074181;-0.863201;1650;0;0;240
1690734237;47.073761;-0.864487;1625;0;0;248
1690734239;47.073624;-0.865807;1600;0;0;260
1690734243;47.073761;-0.867371;1575;0;0;279
1690734245;47.073948;-0.868554;1550;0;0;284
1690734249;47.074265;-0.870049;1550;0;0;285
1690734252;47.074554;-0.871089;1500;0;0;287
1690734254;47.074741;-0.871934;1475;0;0;287
1690734260;47.075394;-0.87461;1375;0;0;287
1690734265;47.075729;-0.876022;1300;0;0;289
1690734269;47.076187;-0.877876;1250;0;0;288
1690734275;47.076782;-0.880348;1150;0;0;291
1690734281;47.077515;-0.882477;1125;0;0;297
1690734287;47.078278;-0.88447;1100;0;0;299
1690734290;47.078705;-0.885498;1125;0;0;300
1690734294;47.079025;-0.886116;1100;0;0;306
1690734300;47.080654;-0.887991;1125;0;0;324
1690734303;47.081314;-0.888725;1125;0;0;324
1690734305;47.081909;-0.889206;1125;0;0;326
1690734309;47.082748;-0.889681;1150;0;0;343
1690734312;47.083866;-0.890104;1150;0;0;345
1690734314;47.084702;-0.890305;1150;0;0;349
1690734317;47.085495;-0.890456;1175;0;0;349
1690734321;47.086704;-0.890667;1175;0;0;352
1690734323;47.087448;-0.890854;1200;0;0;349
1690734327;47.088425;-0.89109;1200;0;0;349
1690734330;47.089279;-0.891335;1175;0;0;349
1690734333;47.090103;-0.891512;1175;0;0;349
1690734334;47.090515;-0.891609;1175;0;0;349
1690734338;47.091522;-0.891815;1175;0;0;352
1690734350;47.094898;-0.892287;1150;0;0;359
1690734355;47.09634;-0.892287;1125;0;0;359
1690734360;47.097931;-0.892227;1100;0;0;1
1690734363;47.098854;-0.892146;1100;0;0;3
1690734364;47.099258;-0.892159;1100;0;0;359
1690734368;47.100266;-0.892159;1100;0;0;359
1690734372;47.10146;-0.892146;1100;0;0;359
1690734374;47.102158;-0.892146;1100;0;0;358
1690734384;47.104858;-0.891935;1100;0;0;11
1690734387;47.105606;-0.891371;1125;0;0;30
1690734389;47.106216;-0.890579;1125;0;0;35
1690734393;47.106812;-0.889275;1150;0;0;54
1690734396;47.107269;-0.887901;1150;0;0;59
1690734399;47.107544;-0.886528;1125;0;0;71
1690734402;47.1077;-0.884963;1125;0;0;81
1690734404;47.107746;-0.883906;1125;0;0;85
1690734408;47.107792;-0.881794;1125;0;0;89
1690734411;47.107792;-0.880244;1125;0;0;91
1690734413;47.107727;-0.879593;1125;0;0;94
1690734417;47.107651;-0.877498;1125;0;0;92
1690734418;47.107651;-0.877005;1125;0;0;92
1690734423;47.107372;-0.874962;1100;0;0;97
1690734428;47.106903;-0.873001;1075;0;0;107
1690734433;47.106354;-0.870735;1025;0;0;108
1690734434;47.106304;-0.870526;1025;0;0;108
1690734439;47.10553;-0.868675;950;0;0;123
1690734444;47.104626;-0.866864;900;0;0;130
1690734450;47.103462;-0.865455;875;0;0;147
1690734455;47.102188;-0.864761;825;0;0;164
1690734460;47.100857;-0.86461;775;0;0;183
1690734466;47.099644;-0.864892;725;0;0;189
1690734471;47.09853;-0.865244;700;0;0;193
1690734476;47.097519;-0.865723;650;0;0;198
1690734482;47.09642;-0.866478;625;0;0;206
1690734487;47.095455;-0.867216;600;0;0;207
1690734493;47.094406;-0.868195;575;0;0;210
1690734498;47.093407;-0.868976;525;0;0;208
1690734503;47.092346;-0.869843;475;0;0;208
1690734514;47.090149;-0.871559;400;0;0;207
1690734519;47.089031;-0.872286;350;0;0;202
1690734529;47.086716;-0.873894;225;0;0;205
1690734533;47.086052;-0.874188;225;0;0;181
1690734540;47.084381;-0.873276;275;0;0;148
1690734545;47.083649;-0.871765;375;0;0;100
1690734549;47.084106;-0.870323;325;0;0;57
